Date,Open,High,Low,Close,Volume
2025-03-07,171.26,174.97,170.27,173.86,27369400
2025-03-06,170.53,174.81,170.5,172.35,28302000
2025-03-05,170.52,173.78,169.06,173.02,30954900
2025-03-04,166.24,173.29,165.8,170.92,45388000
2025-03-03,171.93,173.37,165.93,167.01,40770500
2025-02-28,168.68,170.61,166.77,170.28,48130600
2025-02-27,173.99,174.56,167.94,168.5,39991000
2025-02-26,175.07,176.08,171.58,172.73,35431300
2025-02-25,178.04,178.74,174.69,175.42,41913400
2025-02-24,181.99,183.12,178.89,179.25,29854200
2025-02-21,185.15,185.34,179.08,179.66,35199200
2025-02-20,184.8,185.31,182.72,184.56,20441500
2025-02-19,184.07,185.46,183.59,185.27,19549400
2025-02-18,185.6,185.96,181.74,183.77,29916700
2025-02-14,185.06,186.4,184.32,185.23,20448400
2025-02-13,184.32,186.28,183.14,186.14,21402500
2025-02-12,183.22,185.11,181.83,183.61,22072600
2025-02-11,185.03,186.94,184.28,185.32,21239500
2025-02-10,187.35,188.2,185.86,186.47,23105600
2025-02-07,191.05,191.18,183.24,185.34,49315000
2025-02-06,189.5,192.1,188.72,191.6,29297400
2025-02-05,191.07,192.75,188.03,191.33,70373900
2025-02-04,203.39,207.05,202.81,206.38,43856400
2025-02-03,200.69,203.75,200.1,201.23,27838300
2025-01-31,202.0,205.48,201.8,204.02,32042000
2025-01-30,198.0,201.4,197.67,200.87,24354700
2025-01-29,195.56,196.79,193.43,195.41,18218300
2025-01-28,192.75,195.48,190.68,195.3,24157900
2025-01-27,192.41,196.88,190.73,191.81,41728900
2025-01-24,198.1,200.9,198.0,200.21,23877500
2025-01-23,198.14,200.3,195.2,197.98,26951400
2025-01-22,199.06,200.48,197.53,198.37,26200600
2025-01-21,199.07,202.29,197.87,198.05,29971300
2025-01-17,196.53,197.23,193.75,196.0,27735100
2025-01-16,194.14,195.48,192.81,192.91,17815400
2025-01-15,193.09,196.36,191.86,195.55,21776000
2025-01-14,191.24,191.98,188.31,189.66,17174900
2025-01-13,190.07,191.18,187.36,191.01,21823700
2025-01-10,194.3,196.52,190.31,192.04,26665200
2025-01-08,192.57,196.29,192.38,193.95,24864800
2025-01-07,197.11,201.0,194.6,195.49,26487200
2025-01-06,193.98,198.22,193.85,196.87,29563600
2025-01-03,191.37,193.21,189.98,191.79,18596200
2025-01-02,190.65,192.0,187.5,189.43,20370800
2024-12-31,191.08,191.96,188.51,189.3,17466900
2024-12-30,189.8,192.55,189.12,191.24,14264700
2024-12-27,194.95,195.32,190.65,192.76,18891400
2024-12-26,195.15,196.75,194.38,195.6,12046600
2024-12-24,194.84,196.11,193.78,196.11,10403300
2024-12-23,192.62,195.1,190.15,194.63,25675000
2024-12-20,185.78,192.89,185.22,191.41,63462900
2024-12-19,191.63,193.03,188.38,188.51,32265200
2024-12-18,195.22,197.0,187.74,188.4,34166100
2024-12-17,197.25,201.42,194.98,195.42,43504000
2024-12-16,192.87,199.0,192.62,196.66,44934900
2024-12-13,191.01,192.73,189.64,189.82,25143500
2024-12-12,195.0,195.18,191.71,191.96,34817500
2024-12-11,185.31,195.61,184.85,195.4,67894100
2024-12-10,182.85,186.36,181.05,185.17,54813000
2024-12-09,173.96,176.26,173.65,175.37,25389600
2024-12-06,171.83,174.88,171.66,174.51,21462400
2024-12-05,175.16,175.86,172.13,172.44,21356200
2024-12-04,170.95,174.71,170.86,174.17,31615100
2024-12-03,171.29,172.48,170.65,171.14,22248700
2024-12-02,168.58,171.88,168.38,171.29,23789100
2024-11-29,168.31,169.24,166.97,168.76,14257200
2024-11-27,168.81,169.29,167.83,169.04,19266500
2024-11-26,167.44,169.63,167.39,168.93,20486700
2024-11-25,165.9,168.44,165.42,167.46,33135300
2024-11-22,165.66,166.27,163.71,164.57,38604600
2024-11-21,173.7,173.93,163.51,167.44,59734400
2024-11-20,177.14,177.48,173.58,175.78,18997100
2024-11-19,173.52,178.67,173.36,177.92,23434900
2024-11-18,173.22,175.24,172.7,175.1,20206600
2024-11-15,173.53,173.94,171.02,172.29,32504600
2024-11-14,178.08,178.62,174.12,175.38,31007500
2024-11-13,180.25,180.75,178.34,178.68,23184000
2024-11-12,179.61,182.28,179.18,181.41,25134900
2024-11-11,178.38,180.34,178.27,180.14,17450400
2024-11-08,180.44,180.69,177.88,178.15,22006200
2024-11-07,177.21,180.87,176.99,180.54,25352900
2024-11-06,173.6,176.74,173.3,176.31,33695500
2024-11-05,169.24,170.33,168.65,169.55,18242100
2024-11-04,169.74,170.53,167.82,169.05,21492700
2024-11-01,169.88,172.12,168.69,171.09,31796500
2024-10-31,172.93,176.62,170.8,170.91,44769000
2024-10-30,180.47,181.81,173.86,174.26,68890800
2024-10-29,167.54,170.18,166.9,169.49,42169000
2024-10-28,168.56,168.56,163.76,166.53,32138600
2024-10-25,163.48,165.4,163.23,165.08,19828900
2024-10-24,162.64,163.14,160.83,162.53,22412500
2024-10-23,164.57,165.63,161.74,162.59,18280500
