Date,Open,High,Low,Close,Volume
2025-03-07,111.25,113.48,107.56,112.69,341058300
2025-03-06,113.53,115.35,110.22,110.57,321181900
2025-03-05,117.58,118.28,114.51,117.3,284337900
2025-03-04,110.65,119.31,110.11,115.99,398163300
2025-03-03,123.51,123.7,112.28,114.06,411381400
2025-02-28,118.02,125.09,116.4,124.92,389091100
2025-02-27,135.0,135.01,120.01,120.15,443175800
2025-02-26,129.99,133.73,128.49,131.28,322553800
2025-02-25,129.98,130.2,124.44,126.63,271428700
2025-02-24,136.56,138.59,130.08,130.28,251381100
2025-02-21,140.04,141.46,134.03,134.43,228217600
2025-02-20,140.03,140.66,136.79,140.11,143903600
2025-02-19,139.51,141.36,137.22,139.23,167536000
2025-02-18,141.27,143.44,137.93,139.4,219176600
2025-02-14,136.48,139.25,135.5,138.85,195479600
2025-02-13,131.56,136.5,131.17,135.29,197430000
2025-02-12,130.02,132.24,129.08,131.14,160278600
2025-02-11,132.58,134.48,131.02,132.8,178902400
2025-02-10,130.09,135.0,129.96,133.57,216989100
2025-02-07,129.22,130.37,125.0,129.84,228186300
2025-02-06,127.42,128.77,125.21,128.68,251483600
2025-02-05,121.76,125.0,120.76,124.83,262230800
2025-02-04,116.96,121.2,116.7,118.65,256550000
2025-02-03,114.75,118.57,113.01,116.66,371235700
2025-01-31,123.78,127.85,119.19,120.07,390372900
2025-01-30,123.1,125.0,118.1,124.65,392925500
2025-01-29,126.5,126.89,120.05,123.7,467120600
2025-01-28,121.81,129.0,116.25,128.99,579666400
2025-01-27,124.8,128.4,116.7,118.42,818830900
2025-01-24,148.37,148.97,141.88,142.62,234657600
2025-01-23,145.05,147.23,143.72,147.22,155915500
2025-01-22,144.66,147.79,143.67,147.07,237651400
2025-01-21,139.16,141.83,137.09,140.83,197749000
2025-01-17,136.69,138.5,135.46,137.71,201188800
2025-01-16,138.64,138.75,133.49,133.57,209235600
2025-01-15,133.65,136.45,131.29,136.24,185217300
2025-01-14,136.05,136.38,130.05,131.76,195590500
2025-01-13,129.99,133.49,129.51,133.23,204808900
2025-01-10,137.45,139.92,134.22,135.91,207602500
2025-01-08,142.58,143.95,137.56,140.11,227349900
2025-01-07,153.03,153.13,140.01,140.14,351782200
2025-01-06,148.59,152.16,147.82,149.43,265377400
2025-01-03,140.01,144.9,139.73,144.47,229322500
2025-01-02,136.0,138.88,134.63,138.31,198247200
2024-12-31,138.03,138.07,133.83,134.29,155659200
2024-12-30,134.83,140.27,134.02,137.49,167734700
2024-12-27,138.55,139.02,134.71,137.01,170582600
2024-12-26,139.7,140.85,137.73,139.93,116205600
2024-12-24,140.0,141.9,138.65,140.22,105157000
2024-12-23,136.28,139.79,135.12,139.67,176053500
2024-12-20,129.81,135.28,128.22,134.7,306528600
2024-12-19,131.76,134.03,129.55,130.68,209719200
2024-12-18,133.86,136.7,128.28,128.91,277444500
2024-12-17,129.09,131.59,126.86,130.39,259410300
2024-12-16,134.18,134.4,130.42,132.0,237951100
2024-12-13,138.94,139.6,132.54,134.25,231514900
2024-12-12,137.08,138.44,135.8,137.34,159211400
2024-12-11,137.36,140.17,135.21,139.31,184905200
2024-12-10,139.01,141.82,133.79,135.07,210020900
2024-12-09,138.97,139.95,137.13,138.81,189308600
2024-12-06,144.6,145.7,141.31,142.44,188505600
2024-12-05,145.11,146.54,143.95,145.06,172621200
2024-12-04,141.99,145.78,140.28,145.13,231224300
2024-12-03,138.25,140.53,137.94,140.25,164414000
2024-12-02,138.82,140.44,137.81,138.62,171682800
2024-11-29,136.77,139.34,136.04,138.24,141863200
2024-11-27,135.0,137.21,131.79,135.33,226370900
2024-11-26,137.69,139.29,135.66,136.91,190287700
2024-11-25,141.98,142.04,135.81,136.01,344941900
2024-11-22,145.92,147.15,141.09,141.94,236406200
2024-11-21,149.34,152.88,140.69,146.66,400946600
2024-11-20,147.4,147.55,142.72,145.88,309871700
2024-11-19,141.31,147.12,140.98,147.0,227834900
2024-11-18,139.49,141.54,137.14,140.14,221866000
2024-11-15,144.86,145.23,140.07,141.97,250132900
2024-11-14,147.63,148.99,145.54,146.75,194463300
2024-11-13,149.06,149.32,145.89,146.26,191903300
2024-11-12,146.77,149.64,146.0,148.28,198634700
2024-11-11,148.67,148.84,143.56,145.25,182325600
2024-11-08,148.76,149.76,146.25,147.62,175665800
2024-11-07,146.38,148.92,146.16,148.87,207323300
2024-11-06,142.95,146.48,141.95,145.6,242043900
2024-11-05,137.44,140.36,137.32,139.9,160537400
2024-11-04,137.2,138.95,135.56,136.04,187528200
2024-11-01,134.69,137.3,134.56,135.39,207127800
2024-10-31,137.59,137.6,132.1,132.75,270039600
2024-10-30,139.53,140.32,136.8,139.33,179418100
2024-10-29,140.28,142.25,138.89,141.24,157593600
2024-10-28,142.99,143.13,140.04,140.51,173586700
2024-10-25,140.92,144.12,140.79,141.53,205122100
2024-10-24,140.81,141.34,138.45,140.4,172354900
2024-10-23,142.02,142.42,137.45,139.55,285930000
2024-10-22,142.9,144.41,141.77,143.58,226311600
2024-10-21,138.12,143.7,137.99,143.7,264554500
2024-10-18,138.66,138.89,137.27,137.99,176090200
2024-10-17,139.33,140.88,136.86,136.92,306435900
2024-10-16,133.97,136.61,131.57,135.71,264879700
2024-10-15,137.86,138.56,128.73,131.59,377831000
2024-10-14,136.46,139.59,136.29,138.06,232347700
2024-10-11,134.0,135.77,133.65,134.79,170209500
2024-10-10,131.9,134.99,130.99,134.8,242311300
2024-10-09,134.1,134.51,131.37,132.64,246191600
2024-10-08,130.25,133.47,129.41,132.88,285722500
2024-10-07,124.98,130.63,124.94,127.71,346250200
2024-10-04,124.93,125.03,121.82,124.91,243678100
2024-10-03,120.91,124.35,120.33,122.84,277118000
2024-10-02,116.43,119.37,115.13,118.84,221845900
2024-10-01,121.76,122.43,115.78,116.99,302094500
2024-09-30,118.3,121.49,118.14,121.43,226553700
2024-09-27,123.96,124.02,119.25,121.39,271009200
2024-09-26,126.79,127.66,121.79,124.03,302582900
2024-09-25,122.01,124.93,121.6,123.5,284692900
2024-09-24,116.51,121.79,115.37,120.86,354966800
2024-09-23,116.54,116.98,114.85,116.25,206228500
2024-09-20,117.05,118.61,115.38,115.99,382462400
2024-09-19,117.34,119.65,117.24,117.86,293506400
2024-09-18,115.88,117.69,113.21,113.36,310318900
2024-09-17,118.16,118.79,114.82,115.58,231925900
2024-09-16,116.78,118.17,114.35,116.77,248772300
2024-09-13,119.07,119.95,117.59,119.09,238358300
2024-09-12,116.83,120.78,115.37,119.13,367100500
2024-09-11,109.37,117.17,107.4,116.89,441422400
2024-09-10,107.79,109.38,104.93,108.08,268283700
2024-09-09,104.86,106.53,103.67,106.45,273912000
2024-09-06,108.02,108.13,100.93,102.81,413638100
2024-09-05,104.97,109.63,104.74,107.19,306850700
2024-09-04,105.39,113.25,104.1,106.19,372470300
2024-09-03,115.99,116.19,107.27,107.98,477155100
2024-08-30,119.51,121.73,117.2,119.35,333751600
2024-08-29,121.34,124.41,116.69,117.57,453023300
2024-08-28,128.1,128.31,122.62,125.59,448101100
2024-08-27,125.03,129.18,123.86,128.28,303134600
2024-08-26,129.55,131.24,124.35,126.44,331964700
2024-08-23,125.84,129.58,125.2,129.35,323230300
2024-08-22,130.0,130.73,123.08,123.72,376189100
2024-08-21,127.3,129.33,126.64,128.48,257883600
2024-08-20,128.38,129.86,125.87,127.23,300087400
2024-08-19,124.26,129.98,123.4,129.98,318333600
2024-08-16,121.92,124.98,121.16,124.56,302589900
2024-08-15,118.74,123.22,117.45,122.84,318086700
2024-08-14,118.51,118.58,114.05,118.06,339246400
2024-08-13,112.42,116.21,111.56,116.12,312646700
2024-08-12,106.3,111.05,106.24,109.0,325559900
2024-08-09,105.62,106.58,103.41,104.73,290844200
2024-08-08,101.98,105.48,97.5,104.95,391910000
2024-08-07,107.79,108.78,98.67,98.89,411440400
2024-08-06,103.82,107.69,100.53,104.23,409012100
2024-08-05,92.05,103.39,90.68,100.43,552842400
2024-08-02,103.74,108.7,101.35,107.25,482027500
2024-08-01,117.51,120.14,106.79,109.19,523462300
2024-07-31,112.88,118.32,110.86,117.0,473174200
2024-07-30,111.5,111.97,102.52,103.71,486833300
2024-07-29,113.67,116.26,111.28,111.57,248152100
2024-07-26,116.17,116.18,111.56,113.04,293399100
2024-07-25,113.02,116.61,106.28,112.26,460067000
2024-07-24,119.15,119.93,113.42,114.23,327776900
2024-07-23,122.76,124.67,122.08,122.57,173911000
2024-07-22,120.33,124.05,119.84,123.52,258068900
2024-07-19,120.33,121.58,117.35,117.91,217223800
2024-07-18,121.83,122.38,116.54,121.07,320979500
