Date,Open,High,Low,Close,Volume
2025-03-07,142.92,145.36,139.38,140.62,31830300
2025-03-06,142.2,144.76,138.09,139.95,35482100
2025-03-05,134.37,141.83,133.34,141.03,37284600
2025-03-04,129.6,132.1,126.1,129.85,25366500
2025-03-03,134.01,134.71,129.56,130.81,22528000
2025-02-28,130.95,133.95,130.14,132.51,24862600
2025-02-27,138.68,140.1,135.87,136.55,23859400
2025-02-26,140.0,141.95,138.29,139.08,40543000
2025-02-25,132.79,134.47,130.75,134.01,38881100
2025-02-24,135.8,135.8,128.44,129.04,74118300
2025-02-21,141.6,145.3,141.1,143.75,73892100
2025-02-20,137.81,144.51,131.41,135.97,118849000
2025-02-19,126.0,127.7,124.95,125.79,35155200
2025-02-18,127.74,129.02,125.61,126.9,42152800
2025-02-14,126.59,126.8,120.5,124.73,52729800
2025-02-13,115.33,119.57,114.76,119.54,34429300
2025-02-12,115.82,119.81,114.96,118.33,44024700
2025-02-11,113.96,115.54,111.0,112.78,55001300
2025-02-10,107.32,111.65,106.7,111.32,42429400
2025-02-07,104.46,107.51,103.0,103.51,39538200
2025-02-06,101.25,101.74,99.86,100.38,12774600
2025-02-05,100.17,101.82,99.03,99.28,17017900
2025-02-04,100.59,103.61,99.68,102.35,29877500
2025-02-03,96.5,101.87,96.07,98.61,29282900
2025-01-31,102.0,102.5,98.0,98.84,36503500
2025-01-30,97.3,103.67,97.14,102.74,45929000
2025-01-29,99.39,101.28,96.45,96.72,75053000
2025-01-28,90.94,96.43,89.9,96.03,31296300
2025-01-27,90.59,91.43,89.22,89.99,25999800
2025-01-24,86.71,89.19,86.48,89.14,18791000
2025-01-23,85.8,86.2,84.96,86.1,9225600
2025-01-22,85.0,86.54,84.42,86.4,10354800
2025-01-21,86.87,86.9,84.92,85.38,17099500
2025-01-17,83.2,85.59,83.03,85.12,21132400
2025-01-16,82.02,82.59,81.82,82.43,7566500
2025-01-15,82.63,82.79,82.15,82.44,11655700
2025-01-14,82.39,82.65,81.49,81.68,8773700
2025-01-13,80.15,81.08,80.06,80.54,10726600
2025-01-10,82.25,82.25,80.4,80.53,15393900
2025-01-08,83.09,83.79,82.72,83.69,9661800
2025-01-07,84.31,85.11,83.78,84.48,11144100
2025-01-06,86.55,87.36,85.08,85.52,18077100
2025-01-03,85.1,85.55,84.76,85.54,7689500
2025-01-02,84.39,85.43,84.2,84.95,10635700
2024-12-31,84.42,85.35,84.42,84.79,7415000
2024-12-30,84.17,84.95,83.53,84.13,10731000
2024-12-27,84.89,85.27,84.29,85.06,8629400
2024-12-26,85.72,87.27,85.56,86.08,12008600
2024-12-24,85.7,85.89,85.0,85.52,5235400
2024-12-23,82.85,85.31,82.77,85.14,20055100
2024-12-20,82.21,83.0,81.7,82.28,21270500
2024-12-19,85.0,85.39,84.24,84.31,13795100
2024-12-18,86.39,87.22,84.83,85.0,11319500
2024-12-17,85.5,87.6,85.4,87.15,13288700
2024-12-16,85.96,86.92,85.87,86.06,13216600
2024-12-13,88.19,88.39,87.24,87.82,11608600
2024-12-12,89.04,90.0,88.49,89.23,9951200
2024-12-11,88.89,89.17,88.0,88.98,9866000
2024-12-10,89.79,90.56,89.5,89.83,13859200
2024-12-09,92.01,94.12,91.83,92.32,32767300
2024-12-06,86.01,86.69,85.9,85.93,11751500
